2015 暇人自治区 http://himaq.blog.fc2.com/
ロックマン2のアニメーション定義にあるアニメーション
がどんなアニメーションかまとめたテキスト

-----------------------------------------------------------------------------

00 岩男立ち
01 岩男立ち・発射
02 岩男立ち・おそらくスーパーアーム
03 岩男立ち・投げ
04 岩男歩きかけ
05 岩男歩きかけ・発射
06 岩男歩きかけ・おそらくスーパーアーム
07 岩男歩きかけ・投げ

08 岩男歩き
09 岩男歩き・発射
0A 岩男歩き・おそらくスーパーアーム
0B 岩男歩き・投げ
0C 岩男跳び
0D 岩男跳び・発射
0E 岩男跳び・おそらくスーパーアーム
0F 岩男跳び・投げ


10 岩男止まりかけ
11 岩男止まりかけ・発射
12 岩男止まりかけ・おそらくスーパーアーム
13 岩男止まりかけ・投げ
14 岩男着地の一瞬
15 岩男着地の一瞬・発射
16 岩男着地の一瞬・おそらくスーパーアーム
17 岩男着地の一瞬・投げ

18 岩男被弾
19 岩男・おそらく怯み
1A 岩男ワープ棒・着地
1B 岩男はしご
1C 岩男はしご・発射
1D 岩男はしご(見た目は1Eと同じ)
1E 岩男はしご・投げ
1F 岩男はしご・登り切り


20 岩男はしご・登り切り・発射
21 岩男はしご・登り切り(見た目は22と同じ)
22 岩男はしご・登り切り・投げ
23 ロックバスター
24 岩男被弾の煙
25 岩男ティウンのかけら
26 岩男ワープ棒・出発
27 消滅エフェクト?

28 消滅エフェクト?
29 消滅エフェクト?
2A 消滅エフェクト?
2B 消滅エフェクト?
2C 消滅エフェクト?
2D 消滅エフェクト?
2E 消滅エフェクト?
2F 消滅エフェクト?


30 アトミックファイヤー
31 エアーシューター
32 リーフシールド
33 バブルリード
34 クイックブーメラン
35 クラッシュボム
36 メタルブレード
37 タイムストッパー

38 アイテム1号
39 アイテム2号
3A アイテム3号
3B リーフシールド・弾かれ
3C クイックブーメラン・弾かれ
3D エアーシューター・弾かれ
3E 水しぶきと見た目が同じだが使われていない
3F 水しぶき


40～4F		おそらく未使用(50と同じ)


50 ヒートマン登場
51 ヒートマン弾投げ
52 ヒートマン突進
53 ヒートマン被弾時の一瞬
54 クイックマン登場
55 クイックマン跳び・跳び発射
56 クイックマン立ち発射(未使用)
57 クイックマンガードの姿勢

58 クイックマン走り
59 クイックマン跳び(おそらく未使用)
5A フラッシュマン登場
5B フラッシュマン発射
5C フラッシュマン歩き
5D フラッシュマン跳び
5E フラッシュマン跳び発射(未使用)
5F フラッシュマンのタイムストッパー


60 バブルマン登場
61 バブルマン・バブルリード射出
62 バブルマン立泳ぎ
63 メタルマン登場
64 メタルマン走り
65 メタルマン跳び・投げ
66 エアーマン登場
67 エアーマン発射
68 エアーマン跳び

69 クラッシュマン登場
6A クラッシュマン歩き
6B クラッシュマン跳び・跳び発射
6C ウッドマン登場
6D ウッドマン・リーフシールド展開
6E ウッドマン跳び
6F ウッドマンリーフシールド射出


70 メカドラゴンの口
71 ガッツタンクの口
72 ワイリーマシン2号・第一形態
73 ワイリーマシン2号・第二形態
74 ワイリーのUFO
75 エイリアン戦前の飛んでいるワイリー
76 エイリアンに変形
77 エイリアン

78 エイリアンを倒した直後に飛んでいる小さいやつ
79 エイリアンを倒した後、何かを操作しているワイリー
7A ワイリー跳び
7B ワイリー土下座
7C エイリアンを倒した後、上にあるプラネタリウム

7D～7F	未使用









