改造にあたって、Data Crystalの資料を参照しています。
そのため、この資料にもData Crystalの資料内の用語が使われている箇所が多くあります。
資料内のアドレスはすべてNESヘッダ$10バイトを含んだ形になっています。
資料内のbitの数え方は最上位bitがbit7、最下位bitがbit0となっています。
間違っていたらゴメンナサイ。

-----------------------------------------------

EnemyIDは、ステージのデザイン時にオブジェクトを配置するために使う番号です。
ゲーム中の実際のオブジェクトの管理はObjectID(Sprite type)を使用します。
番号が$C0～FFのものはEffect Enemyと呼ばれ、パレットやBGバンクの変更に用いられます。

00 プカプッカー
01 コーカーＱ
02 ボンビャー
03 スペースメットール
04 スマトラン
05 マウスベール
06 新シールドアタッカー
07 レンバクン
08 メットール砲台
09 メットールＫ－１０００
0A 落下するクリスタル
0B V（ブイ）(ウェーブマンステージ水上バイクのときの障害物)
0C パワーマッスラー
0D アパッチジョー
0E 鉄キューン(逆さ)
0F 鉄キューン

10 ミザイル
11 スターマンステージの隕石
12 グラビットン
13 ウェーブマンステージの噴き出す水
14 タテパッカン
15 フージーン
16 ボンバースローン
17 ライダージョー(水上バイクに乗ったジョー)(左を向きながらゆっくり右へ)
18 クリスタルジョー
19 スージーG
1A スージーG(逆さ)
1B ユードーン(誘導ミサイルを撃ってくる敵)
1C ひらりあん４２７(近づくと天井から落ちてくる敵)
1D ツインキャノン
1E ダチョーン
1F ダチョーン

20 ダイダイン(上に進む)
21 ダイダイン(右上に進む)
22 ダイダイン(右に進む)
23 ダイダイン(右下に進む)
24 ダイダイン(下に進む)
25 ダイダイン(左下に進む)
26 ダイダイン(左に進む)
27 ダイダイン(左上に進む)
28 ライダージョー(左から突っ込んでくる)
29 メットール・スイム
2A ノビータ
2B バウンダー
2C トスマシーン
2D ギリー(時計回り・遅い)
2E ギリー(反時計回り・速い)
2F ギリー(時計回り・速い)

30 ギリー(反時計回り・遅い)
31 メットール・マミー
32 スベール
33 トンデオール
34 ターバン
35 ロックスローン
36 プカベリー
37 ジェットボム
38 ラウンダー
39 コッココロコロ
3A イルカーン
3B B・ビッター
3C ギリー
3D ギリー
3E ギリー
3F プカベリー

40 チャージマンステージの電車内に入る
41 ウェーブマンステージのパイプに入る
42 重力反転(↓|↑)
43 重力反転(↑|↓)
44 重力反転縦長(↓|↑)
45 重力反転縦長(↑|↓)
46 重力反転(↑/↓)
47 天井が上下する
48 床が上昇する(ジャイロマンステージの最初)
49 床が上昇する(ジャイロマンステージの終盤)
4A ？
4B 床・天井が上下する
4C ローリングドリル
4D 背景の上部がスクロールする(水上スキーの背景みたく)
4E 水上バイク
4F 見えない敵？

50 オクトーパーＯＡ
51 何もなし？
52 何かの台？
53 何かの台？
54 何かの台？
55 何かの台？画面がスクロールしなくなる
56 ブルースステージ３の進むブロック足場
57 ブルースステージ３の進むブロック足場
58 ブーンブロック
59 ビッグベッツ？
5A 何もなし？
5B 何もなし？
5C ボス？
5D ボス？
5E ダークマン４号？
5F ワイリーマシン５号？

60 カモーン
61 リリック
62 ストーンマン
63 チャージマン
64 ジャイロマン
65 グラビティーマン
66 クリスタルマン
67 ウェーブマン
68 ナパームマン
69 スターマン
6A ダークマン２号
6B ダークマン３号
6C ダークマン１号
6D 何もなし？(ObjectIDが00に設定されているので多分未使用)
6E 何もなし？(ObjectIDが00に設定されているので多分未使用)
6F 何もなし？(ObjectIDが00に設定されているので多分未使用)

70 ワープする？
71 ワープするライフエネルギー回復？
72 ライト博士
73 何もなし？(ObjectIDが00に設定されているので多分未使用)
74 何もなし？(ObjectIDが00に設定されているので多分未使用)
75 何もなし？(ObjectIDが00に設定されているので多分未使用)
76 何もなし？(ObjectIDが00に設定されているので多分未使用)
77 何もなし？(ObjectIDが00に設定されているので多分未使用)
78 何もなし？(ObjectIDが00に設定されているので多分未使用)
79 何もなし？(ObjectIDが00に設定されているので多分未使用)
